Date,Symbols,Close,High,Low,Open,Volume
2020-08-27,GOOGL,81.426,82.3995,80.9407,82.3305,31350060.0
2020-08-27,META,293.22,301.23,292.02,300.16,30301309.0
2020-08-27,PFE,34.9287,35.0575,34.7629,35.0224,22785288.604704
2020-08-27,BNTX,64.967,68.0375,64.1747,67.5522,1999520.5258564
2020-08-27,MRNA,68.03,70.32,67.01,69.98,9262562.0
2020-08-26,AMZN,172.092,172.587,167.228,167.556,130174860.0
2020-08-26,GOOGL,82.2065,82.6395,80.0488,80.315,52187260.0
2020-08-26,META,303.91,304.67,284.0,284.0,69015151.0
2020-08-26,PFE,35.1054,35.3065,34.7443,35.2343,24767060.980009
2020-08-26,BNTX,67.255,69.3351,66.4131,69.3351,1727849.9158103
2020-08-26,MRNA,70.5,71.64,66.03,67.62,28768082.0
2020-08-25,AMZN,167.324,167.87,163.35,164.749,79856840.0
2020-08-25,GOOGL,80.2925,80.444,78.894,79.005,25149260.0
2020-08-25,META,280.82,283.09,270.2601,272.41,42127240.0
2020-08-25,PFE,35.4373,35.5748,35.0127,35.529,26965246.919564
2020-08-25,BNTX,69.8204,69.8303,67.5621,69.4044,1591320.0127728
2020-08-25,MRNA,66.25,66.696,63.55,64.32,7798501.0
2020-08-24,AMZN,165.373,169.016,162.878,165.508,93325160.0
2020-08-24,GOOGL,79.2575,80.439,78.752,79.6235,25637860.0
2020-08-24,META,271.39,277.2478,268.7701,271.07,23685603.0
2020-08-24,PFE,35.8335,36.0179,35.5572,35.9994,25721655.883548
2020-08-24,BNTX,70.177,76.6648,69.0874,76.2587,3426426.7655896
2020-08-24,MRNA,64.88,67.85,62.88,67.15,13143244.0
2020-08-21,AMZN,164.236,165.72,163.77,164.75,71517240.0
2020-08-21,GOOGL,78.7785,79.594,78.1155,78.59,34845500.0
2020-08-21,META,267.01,270.49,266.42,268.69,15538615.0
2020-08-21,PFE,35.8716,35.9818,35.5846,35.8979,26189790.598141
2020-08-21,BNTX,72.3264,75.5554,69.6718,71.0883,6350724.7900818
2020-08-21,MRNA,66.45,68.02,65.6,67.5,6935608.0
2020-08-20,AMZN,164.868,165.631,161.9,162.6,66649560.0
2020-08-20,GOOGL,78.8125,79.0085,76.723,76.9985,26382620.0
2020-08-20,META,269.01,269.63,261.46,261.5,20299688.0
2020-08-20,PFE,35.7231,35.7866,35.1786,35.2244,22580553.380378
2020-08-20,BNTX,65.6405,69.6223,63.4713,65.4488,2960739.180498
2020-08-20,MRNA,67.81,68.0,66.63,67.79,6346700.0
2020-08-19,AMZN,163.024,165.795,162.8,165.151,83702740.0
2020-08-19,GOOGL,77.2305,78.443,77.0,77.6245,30471840.0
2020-08-19,META,262.59,267.908,261.35,261.388,23291463.0
2020-08-19,PFE,35.2977,35.6178,35.1689,35.4997,16135243.044953
2020-08-19,BNTX,64.9769,66.839,64.3925,66.7796,2348960.8737688
2020-08-19,MRNA,68.0,69.17,66.6,66.74,8558809.0
2020-08-18,AMZN,165.624,166.0,160.291,160.6,106919480.0
2020-08-18,GOOGL,77.789,77.8685,76.0832,76.306,28377000.0
2020-08-18,META,262.34,265.15,259.26,260.95,18690383.0
2020-08-18,PFE,35.3904,35.4821,35.2147,35.4744,11154189.754358
2020-08-18,BNTX,67.2352,69.6817,66.423,69.028,1923373.1993406
